ID,Nom,Prénom,Email,Âge
1,Doe,John,john.doe@example.com,22
2,Smith,Anna,anna.smith@example.com,19
3,mbairam,Benjamin,mbai@gmail.com,22
5,Diane,Jaune,jaun.diane@example.com,24
6,Sylvain,Anantol,anna.syl@example.com,28
7,Christian,Belvie,chris@example.com,14
8,Suarez,Luis,luis@example.com,30
9,Gabriel,Mark,gabri@example.com,18
10,Valfrida,khaleesi,val@example.com,26
11,Fierté,Harm,fiert@example.com,25
12,Neymar,Junior,ney@example.com,23
13,Vivien,Julles,vivien@example.com,21
14,Jean,Marie,marie@example.com,20
